State,Year,Deaths
Alabama,2022,8
Alaska,2022,4
Arizona,2022,9
Arkansas,2022,8
California,2022,47
Colorado,2022,11
Connecticut,2022,1
Delaware,2022,0
Florida,2022,12
Georgia,2022,19
Hawaii,2022,1
Idaho,2022,0
Illinois,2022,27
Indiana,2022,16
Iowa,2022,6
Kansas,2022,1
Kentucky,2022,5
Louisiana,2022,14
Maine,2022,0
Maryland,2022,16
Massachusetts,2022,0
Michigan,2022,19
Minnesota,2022,7
Mississippi,2022,13
Missouri,2022,10
Montana,2022,0
Nebraska,2022,1
Nevada,2022,4
New Hampshire,2022,0
New Jersey,2022,2
New Mexico,2022,4
New York,2022,19
North Carolina,2022,13
North Dakota,2022,0
Ohio,2022,9
Oklahoma,2022,6
Oregon,2022,3
Pennsylvania,2022,15
Rhode Island,2022,0
South Carolina,2022,12
South Dakota,2022,0
Tennessee,2022,14
Texas,2022,76
Utah,2022,1
Vermont,2022,0
Virginia,2022,12
Washington,2022,5
West Virginia,2022,2
Wisconsin,2022,9
Wyoming,2022,0
Alabama,2021,19
Alaska,2021,1
Arizona,2021,12
Arkansas,2021,2
California,2021,61
Colorado,2021,34
Connecticut,2021,0
Delaware,2021,5
Florida,2021,29
Georgia,2021,27
Hawaii,2021,0
Idaho,2021,3
Illinois,2021,59
Indiana,2021,25
Iowa,2021,1
Kansas,2021,2
Kentucky,2021,3
Louisiana,2021,19
Maine,2021,0
Maryland,2021,18
Massachusetts,2021,1
Michigan,2021,32
Minnesota,2021,10
Mississippi,2021,19
Missouri,2021,15
Montana,2021,0
Nebraska,2021,1
Nevada,2021,2
New Hampshire,2021,0
New Jersey,2021,6
New Mexico,2021,1
New York,2021,16
North Carolina,2021,30
North Dakota,2021,0
Ohio,2021,31
Oklahoma,2021,6
Oregon,2021,9
Pennsylvania,2021,20
Rhode Island,2021,0
South Carolina,2021,26
South Dakota,2021,3
Tennessee,2021,26
Texas,2021,66
Utah,2021,1
Vermont,2021,0
Virginia,2021,17
Washington,2021,12
West Virginia,2021,2
Wisconsin,2021,16
Wyoming,2021,0
Alabama,2020,17
Alaska,2020,5
Arizona,2020,4
Arkansas,2020,10
California,2020,36
Colorado,2020,6
Connecticut,2020,7
Delaware,2020,3
Florida,2020,27
Georgia,2020,18
Hawaii,2020,0
Idaho,2020,2
Illinois,2020,43
Indiana,2020,10
Iowa,2020,8
Kansas,2020,0
Kentucky,2020,12
Louisiana,2020,25
Maine,2020,3
Maryland,2020,10
Massachusetts,2020,5
Michigan,2020,20
Minnesota,2020,2
Mississippi,2020,18
Missouri,2020,25
Montana,2020,0
Nebraska,2020,2
Nevada,2020,7
New Hampshire,2020,0
New Jersey,2020,11
New Mexico,2020,1
New York,2020,20
North Carolina,2020,25
North Dakota,2020,0
Ohio,2020,22
Oklahoma,2020,1
Oregon,2020,1
Pennsylvania,2020,14
Rhode Island,2020,0
South Carolina,2020,23
South Dakota,2020,1
Tennessee,2020,9
Texas,2020,33
Utah,2020,4
Vermont,2020,0
Virginia,2020,3
Washington,2020,2
West Virginia,2020,4
Wisconsin,2020,13
Wyoming,2020,0
Alabama,2019,17
Alaska,2019,0
Arizona,2019,6
Arkansas,2019,7
California,2019,55
Colorado,2019,2
Connecticut,2019,0
Delaware,2019,0
Florida,2019,34
Georgia,2019,18
Hawaii,2019,3
Idaho,2019,0
Illinois,2019,33
Indiana,2019,9
Iowa,2019,7
Kansas,2019,5
Kentucky,2019,6
Louisiana,2019,20
Maine,2019,0
Maryland,2019,15
Massachusetts,2019,7
Michigan,2019,13
Minnesota,2019,0
Mississippi,2019,9
Missouri,2019,12
Montana,2019,5
Nebraska,2019,0
Nevada,2019,1
New Hampshire,2019,0
New Jersey,2019,13
New Mexico,2019,8
New York,2019,7
North Carolina,2019,21
North Dakota,2019,0
Ohio,2019,20
Oklahoma,2019,11
Oregon,2019,0
Pennsylvania,2019,9
Rhode Island,2019,2
South Carolina,2019,10
South Dakota,2019,0
Tennessee,2019,3
Texas,2019,90
Utah,2019,0
Vermont,2019,0
Virginia,2019,22
Washington,2019,7
West Virginia,2019,1
Wisconsin,2019,6
Wyoming,2019,2
Alabama,2018,11
Alaska,2018,0
Arizona,2018,11
Arkansas,2018,7
California,2018,54
Colorado,2018,7
Connecticut,2018,0
Delaware,2018,5
Florida,2018,47
Georgia,2018,3
Hawaii,2018,0
Idaho,2018,0
Illinois,2018,25
Indiana,2018,10
Iowa,2018,0
Kansas,2018,1
Kentucky,2018,7
Louisiana,2018,15
Maine,2018,0
Maryland,2018,13
Massachusetts,2018,0
Michigan,2018,11
Minnesota,2018,0
Mississippi,2018,1
Missouri,2018,12
Montana,2018,0
Nebraska,2018,1
Nevada,2018,3
New Hampshire,2018,0
New Jersey,2018,2
New Mexico,2018,5
New York,2018,5
North Carolina,2018,14
North Dakota,2018,0
Ohio,2018,13
Oklahoma,2018,2
Oregon,2018,0
Pennsylvania,2018,33
Rhode Island,2018,0
South Carolina,2018,5
South Dakota,2018,0
Tennessee,2018,21
Texas,2018,29
Utah,2018,0
Vermont,2018,0
Virginia,2018,2
Washington,2018,4
West Virginia,2018,0
Wisconsin,2018,2
Wyoming,2018,0
